X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
738403.3135,454314.9101,197,BREVARD,BE R-139,R-139,R,East_Zone,801248.5,1351911.28,-80.5501847,28.05209447
732391.5488,489937.8158,198,BREVARD,BE R-014,R-014,R,East_Zone,784333.49,1468976.78,-80.6014337,28.37423725
738519.8891,454112.7162,199,BREVARD,BE R-140,R-140,R,East_Zone,801615.5,1351240.28,-80.54905457,28.05024517
738638.7028,453824.5646,200,BREVARD,BE R-141,R-141,R,East_Zone,801982.99,1350287.78,-80.5479262,28.04762159
738734.7988,453607.3601,201,BREVARD,BE R-142,R-142,R,East_Zone,802281.48,1349569.28,-80.54700909,28.04564232
738853.1446,453331.2052,202,BREVARD,BE R-143,R-143,R,East_Zone,802648.39,1348656.08,-80.54588216,28.04312682
738972.4269,453065.8407,203,BREVARD,BE R-144,R-144,R,East_Zone,803019.24,1347778.12,-80.54474266,28.0407082
739083.4302,452824.2699,204,BREVARD,BE R-145,R-145,R,East_Zone,803364.78,1346978.69,-80.54368076,28.03850583
739166.7612,452624.2788,205,BREVARD,BE R-146,R-146,R,East_Zone,803622.69,1346317.54,-80.54288894,28.03668469
739337.9484,452287.3464,206,BREVARD,BE R-147,R-147,R,East_Zone,804158.42,1345201.23,-80.54124125,28.03360876
739454.8763,452002.064,207,BREVARD,BE R-148,R-148,R,East_Zone,804519.94,1344258.27,-80.54013164,28.03101141
739611.5102,451767.4431,208,BREVARD,BE R-149,R-149,R,East_Zone,805016.01,1343477.96,-80.5386031,28.02886003
739743.1416,451480.3268,209,BREVARD,BE R-150,R-150,R,East_Zone,805425.71,1342527.83,-80.53734434,28.02624244
739834.8977,451274.9426,210,BREVARD,BE R-151,R-151,R,East_Zone,805710.88,1341848.36,-80.53646843,28.02437059
739987.547,450888.8161,211,BREVARD,BE R-152,R-152,R,East_Zone,806181.75,1340572.52,-80.53502403,28.02085647
740116.7741,450633.4065,212,BREVARD,BE R-153,R-153,R,East_Zone,806586.08,1339726.35,-80.53378085,28.01852485
740170.639,450411.4828,213,BREVARD,BE R-154,R-154,R,East_Zone,806745.39,1338995.76,-80.53329576,28.01651369
740345.1412,450041.5736,214,BREVARD,BE R-155,R-155,R,East_Zone,807289.38,1337771.26,-80.53162433,28.01313998
740416.2091,449902.7462,215,BREVARD,BE R-156,R-156,R,East_Zone,807511.87,1337311.26,-80.53094027,28.01187241
740563.266,449579.2255,216,BREVARD,BE R-157,R-157,R,East_Zone,807969.36,1336240.76,-80.52953521,28.00892316
